SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
AgentDesignations,,AgentDesignations,X314812302,AgentDesignations,50,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentDisplayName,,AgentDisplayName,X786408,AgentDisplayName,50,Character,0,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentEditor,,AgentEditor,X40706419,AgentEditor,50,Character,0,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentFirstName,,AgentFirstName,X74140,AgentFirstName,50,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentFullName,,AgentFullName,X74133,AgentFullName,50,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentID,,AgentID,X74134,AgentID,50,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentExternalSystemID,,AgentExternalSystemID,X74132,AgentExternalSystemID,30,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentKey,,AgentKey,X74130,AgentKey,15,Long,0,1,Number,Right,0,,,,,1,,,0,,,1,,,,,
AgentLastLoginDate,,AgentLastLoginDate,X44065710,AgentLastLoginDate,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
AgentLastName,,AgentLastName,X74139,AgentLastName,50,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentLicenseNumber,,AgentLicenseNumber,X1057234,AgentLicenseNumber,12,Character,0,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentMiddleName,,AgentMiddleName,X74142,AgentMiddleName,25,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentOfficeID,,AgentOfficeID,X74076,AgentOfficeID,30,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
OfficeKey,,OfficeKey,X74071,OfficeKey,15,Long,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
AgentPassword,,AgentPassword,X77640,AgentPassword,16,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentPrimaryAssociation,,AgentPrimaryAssociation,X30047,AgentPrimaryAssociation,50,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentPrimaryAssociationLkp,,AgentPrimaryAssociationLkp,X4730355,AgentPrimaryAssociationLkp,15,Long,0,1,Lookup,Left,0,,AGENT_PRIMARY_ASSOCIATIONS,132,,1,,,0,,,0,,,,,
AgentSourceCreationTimestamp,,AgentSourceCreationTimestamp,X914926,AgentSourceCreationTimestamp,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
AgentSourceModificationTimestamp,,AgentSourceModificationTimestamp,X914927,AgentSourceModificationTimestamp,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
AgentStatus,,AgentStatus,X953839,AgentStatus,50,Long,0,1,Lookup,Left,0,,AGENT_STATUSES,7,,1,,,0,,,0,,,,,
AgentStatusDate,,AgentStatusDate,X1055350,AgentStatusDate,19,Date,,1,,Left,0,DATE,,,,1,,,0,,,0,,,,,
AgentType,,AgentType,X953840,AgentType,60,Long,0,1,Lookup,Left,0,,AGENT_TYPES,114,,1,,,0,,,0,,,,,
AgentRole,,AgentRole,X4734516,AgentRole,15,Long,0,1,Lookup,Left,0,,AGENT_ROLES,14,,1,,,0,,,0,,,,,
AgentUserName,,AgentUserName,X77639,AgentUserName,30,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
NRDSMemberID,,NRDSMemberID,X49076034,NRDSMemberID,30,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentSystemLocale,,AgentSystemLocale,X980273,AgentSystemLocale,15,Long,0,1,Lookup,Left,0,,SYSTEM_LOCALES,9,,1,,,0,,,0,,,,,
AgentSubSystemLocale,,AgentSubSystemLocale,X980274,AgentSubSystemLocale,15,Long,0,1,Lookup,Left,0,,SUB_SYSTEM_LOCALES,32,,1,,,0,,,0,,,,,
AgentModificationTimestamp,,AgentModificationTimestamp,X244895162,AgentModificationTimestamp,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
AgentPrimaryObjectModificationTs,,AgentPrimaryObjectModificationTimestamp,X74799454,AgentPrimaryObjectModificationTimestamp,19,DateTime,,1,,Left,0,TIMESTAMP,,,,1,,,0,,,0,,,,,
ListingAddEditYN,,ListingAddEditYN,X4734547,ListingAddEditYN,1,Boolean,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
AddEditOfficeYN,,AddEditOfficeYN,X4734564,AddEditOfficeYN,1,Boolean,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
AddEditSelfYN,,AddEditSelfYN,X4734581,AddEditSelfYN,1,Boolean,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
ViewRosterYN,,ViewRosterYN,X4734598,ViewRosterYN,1,Boolean,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
EditRosterYN,,EditRosterYN,X4734615,EditRosterYN,1,Boolean,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
AssistantTo,,AssistantTo,X4734763,AssistantTo,400,Character,0,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentBlogAddress,,AgentBlogAddress,X40408204,AgentBlogAddress,100,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentCellPhone,,AgentCellPhone,X62865109,AgentCellPhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentContactOrder1,,AgentContactOrder1,X61880272,AgentContactOrder1,15,Long,0,1,Lookup,Left,0,,CONTACT_ORDER_LIST,17,,1,,,0,,,0,,,,,
AgentContactOrder2,,AgentContactOrder2,X61880273,AgentContactOrder2,15,Long,0,1,Lookup,Left,0,,CONTACT_ORDER_LIST,17,,1,,,0,,,0,,,,,
AgentContactOrder3,,AgentContactOrder3,X61880274,AgentContactOrder3,15,Long,0,1,Lookup,Left,0,,CONTACT_ORDER_LIST,17,,1,,,0,,,0,,,,,
AgentContactOrder4,,AgentContactOrder4,X61880275,AgentContactOrder4,15,Long,0,1,Lookup,Left,0,,CONTACT_ORDER_LIST,17,,1,,,0,,,0,,,,,
AgentContactOrder5,,AgentContactOrder5,X61880276,AgentContactOrder5,15,Long,0,1,Lookup,Left,0,,CONTACT_ORDER_LIST,17,,1,,,0,,,0,,,,,
AgentContactOrder6,,AgentContactOrder6,X61880277,AgentContactOrder6,15,Long,0,1,Lookup,Left,0,,CONTACT_ORDER_LIST,17,,1,,,0,,,0,,,,,
AgentDirectPhone,,AgentDirectPhone,X62865114,AgentDirectPhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentDirectPhoneExt,,AgentDirectPhoneExt,X915009,AgentDirectPhoneExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentEmail,,AgentEmail,X74060,AgentEmail,255,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentEmailSignature,,AgentEmailSignature,X40706420,AgentEmailSignature,1000,Character,0,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentFax,,AgentFax,X62865111,AgentFax,50,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentFullStreetAddress,,AgentFullStreetAddress,X72130,AgentFullStreetAddress,100,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentHomePhone,,AgentHomePhone,X62865110,AgentHomePhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentHomePhoneExt,,AgentHomePhoneExt,X73665,AgentHomePhoneExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentPager,,AgentPager,X62865113,AgentPager,20,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentPreferredLanguage,,AgentPreferredLanguage,X40706421,AgentPreferredLanguage,255,Character,0,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentPreferredPhone,,AgentPreferredPhone,X62865115,AgentPreferredPhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentPreferredPhoneExt,,AgentPreferredPhoneExt,X1041260,AgentPreferredPhoneExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentRecordComments,,AgentRecordComments,X74135,AgentRecordComments,500,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentTollFreePhone,,AgentTollFreePhone,X62865116,AgentTollFreePhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentTollFreePhoneExt,,AgentTollFreePhoneExt,X40408224,AgentTollFreePhoneExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentVoiceMail,,AgentVoiceMail,X62865112,AgentVoiceMail,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentVoiceMailExt,,AgentVoiceMailExt,X73685,AgentVoiceMailExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentWWW,,AgentWWW,X74065,AgentWWW,255,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentCarrierRoute,,AgentCarrierRoute,X72520,AgentCarrierRoute,4,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentCityName,,AgentCityName,X257088768,AgentCityName,50,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentPostalCode,,AgentPostalCode,X72460,AgentPostalCode,50,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentState,,AgentState,X73120,AgentState,60,Long,0,1,Lookup,Left,0,,STATES_OR_PROVINCES,68,,1,,,0,,,0,,,,,
AgentStreetAdditionalInfo,,AgentStreetAdditionalInfo,X73000,AgentStreetAdditionalInfo,50,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
AgentZip4,,AgentZip4,X72490,AgentZip4,4,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
OfficeName,,OfficeName,X74075,OfficeName,80,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
OfficeStatus,,OfficeStatus,X914869,OfficeStatus,15,Long,0,1,Lookup,Left,0,,OFFICE_STATUSES,5,,1,,,0,,,0,,,,,
OfficeOfficePhone,,OfficeOfficePhone,X62865106,OfficeOfficePhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
OfficeOfficePhoneExt,,OfficeOfficePhoneExt,X73270,OfficeOfficePhoneExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
